team,name,salary,playerID
Atlanta Braves,Max Fried,210556,608331
Atlanta Braves,Minter,208704,0
Atlanta Braves,Austin Riley,152160,663586
Atlanta Braves,Tyler Matzek,105910,554431
Atlanta Braves,Kyle Wright,82654,657140
Atlanta Braves,Freddie Freeman,22359375,518692
Atlanta Braves,Charlie Morton,15000000,450203
Atlanta Braves,Will Smith,13000000,519293
Atlanta Braves,Drew Smyly,11000000,592767
Atlanta Braves,Ender Inciarte,8700000,542255
Atlanta Braves,Chris Martin,7000000,455119
Atlanta Braves,Dansby Swanson,6000000,621020
Atlanta Braves,Max Fried,3500000,608331
Atlanta Braves,Ozzie Albies,3000000,645277
Atlanta Braves,Luke Jackson,1900000,592426
Atlanta Braves,Ehire Adrianza,1500000,501303
Atlanta Braves,Johan Camargo,1360000,622666
Atlanta Braves,Minter,1300000,0
Atlanta Braves,Shane Greene,1185555,572888
Atlanta Braves,Guillermo Heredia,1000000,628338
Atlanta Braves,Pablo Sandoval,1000000,467055
Atlanta Braves,Josh Tomlin,1000000,458708
Atlanta Braves,Orlando Arcia,978523,606115
Atlanta Braves,Abraham Almonte,665375,501659
Atlanta Braves,Tyler Matzek,600500,554431
Atlanta Braves,Austin Riley,590500,663586
Atlanta Braves,Ian Anderson,575500,666120
Atlanta Braves,Edgar Santana,450849,650828
Atlanta Braves,Kevan Smith,417112,607345
Atlanta Braves,Jesse Chavez,309767,445926
Atlanta Braves,Jonathan Lucroy,269896,518960
Baltimore Orioles,Chris Davis,21065362,448801
Baltimore Orioles,Mark Trumbo,11000000,444432
Baltimore Orioles,Jonathan Villar,4825000,542340
Baltimore Orioles,Dylan Bundy,2800000,605164
Baltimore Orioles,Mychal Givens,2150000,571710
Baltimore Orioles,Hanser Alberto,578000,593643
Baltimore Orioles,Trey Mancini,575500,641820
Baltimore Orioles,Richard Bleier,572500,542947
Baltimore Orioles,Miguel Castro,569000,612434
Baltimore Orioles,Pedro Severino,563500,600474
Baltimore Orioles,Renato Nunez,562000,600524
Baltimore Orioles,John Means,555500,607644
Baltimore Orioles,Richie Martin,555000,621006
Baltimore Orioles,Paul Fry,543905,643316
Baltimore Orioles,Rio Ruiz,513513,547004
Baltimore Orioles,Gabriel Ynoa,483408,593679
Baltimore Orioles,Steve Wilkerson,471472,0
Baltimore Orioles,Shawn Armstrong,465930,542888
Baltimore Orioles,Dwight Smith Jr,445628,0
Baltimore Orioles,David Hess,366630,605276
Baltimore Orioles,Chance Sisco,355096,642082
Baltimore Orioles,Anthony Santander,346144,623993
Baltimore Orioles,Stewart,307352,0
Baltimore Orioles,Branden Kline,280496,571858
Baltimore Orioles,Asher Wojciechowski,268560,592879
Baltimore Orioles,Austin Wynns,252000,642851
Baltimore Orioles,Alex Cobb,4582187,502171
Baltimore Orioles,Jose Iglesias,925926,578428
Baltimore Orioles,Hanser Alberto,611111,593643
Baltimore Orioles,John Means,214815,607644
Baltimore Orioles,Renato Nunez,214074,600524
Baltimore Orioles,Pedro Severino,213333,600474
Baltimore Orioles,Shawn Armstrong,212407,542888
Baltimore Orioles,Rio Ruiz,212222,547004
Baltimore Orioles,Paul Fry,211481,643316
Baltimore Orioles,Chance Sisco,211481,642082
Baltimore Orioles,Tanner Scott,210556,656945
Baltimore Orioles,Austin Hays,210185,669720
Baltimore Orioles,Travis Lakins,209630,0
Baltimore Orioles,Hunter Harvey,209259,640451
Baltimore Orioles,Cole Sulser,209259,642121
Baltimore Orioles,Pat Valaika,208704,642162
Baltimore Orioles,Cedric Mullins,190015,656775
Baltimore Orioles,Bryan Holaday,184356,592407
Baltimore Orioles,Thomas Eshelman,183785,664045
Baltimore Orioles,Jorge Lopez,158956,605347
Baltimore Orioles,Stewart,128617,0
Baltimore Orioles,Keegan Akin,118370,669211
Baltimore Orioles,Ryan Mountcastle,118370,663624
Baltimore Orioles,Cesar Valdez,99680,491624
Baltimore Orioles,David Hess,87220,605276
Baltimore Orioles,Ramon Urias,50864,602104
Baltimore Orioles,Trey Mancini,4750000,641820
Baltimore Orioles,Anthony Santander,2100000,623993
Baltimore Orioles,Pedro Severino,1825000,600474
Baltimore Orioles,Matt Harvey,1000000,518774
Baltimore Orioles,Pat Valaika,790272,642162
Baltimore Orioles,Jorge Lopez,586750,605347
Baltimore Orioles,Adam Plutko,584200,592644
Baltimore Orioles,Paul Fry,581000,643316
Baltimore Orioles,Tanner Scott,580000,656945
Baltimore Orioles,Austin Hays,578500,669720
Baltimore Orioles,Cedric Mullins,577000,656775
Baltimore Orioles,Stewart,577000,0
Baltimore Orioles,Cesar Valdez,576500,491624
Baltimore Orioles,Ryan Mountcastle,574500,663624
Baltimore Orioles,Dillon Tate,574500,622253
Baltimore Orioles,Tyler Wells,570500,669330
Baltimore Orioles,Cole Sulser,537486,642121
Baltimore Orioles,Ramon Urias,454804,602104
Baltimore Orioles,Ryan McKenna,450849,663630
Baltimore Orioles,Keegan Akin,447782,669211
Baltimore Orioles,Austin Wynns,383375,642851
Baltimore Orioles,Thomas Eshelman,328169,664045
Baltimore Orioles,Domingo Leyba,300566,642736
Baltimore Orioles,Spenser Watkins,291365,0
Baltimore Orioles,Kelvin Gutierrez,269896,642721
Baltimore Orioles,Shaun Anderson,266829,641312
Boston Red Sox,David Price,31000000,456034
Boston Red Sox,Martinez,23750000,0
Boston Red Sox,Rick Porcello,21125000,519144
Boston Red Sox,Mookie Betts,20100000,605141
Boston Red Sox,Nathan Eovaldi,17000000,543135
Boston Red Sox,Xander Bogaerts,12000000,593428
Boston Red Sox,Jackie Bradley Jr,8550000,0
Boston Red Sox,Mitch Moreland,6500000,519048
Boston Red Sox,Eduardo Rodriguez,4325000,593958
Boston Red Sox,Brock Holt,3575000,571788
Boston Red Sox,Christian Vazquez,2850000,543877
Boston Red Sox,Sandy Leon,2222102,506702
Boston Red Sox,Matt Barnes,1600000,598264
Boston Red Sox,Andrew Cashner,1577000,488768
Boston Red Sox,Heath Hembree,1312500,592390
Boston Red Sox,Brandon Workman,1150000,519443
Boston Red Sox,Andrew Benintendi,717500,643217
Boston Red Sox,Rafael Devers,614500,646240
Boston Red Sox,Brian Johnson,575000,598271
Boston Red Sox,Marcus Walden,528790,519393
Boston Red Sox,Hector Velazquez,511379,584171
Boston Red Sox,Ryan Brasier,501242,518489
Boston Red Sox,Marco Hernandez,486800,593523
Boston Red Sox,Colten Brewer,470073,605155
Boston Red Sox,Josh Taylor,459089,657031
Boston Red Sox,Sam Travis,360060,607752
Boston Red Sox,Martinez,8796296,0
Boston Red Sox,Xander Bogaerts,7407407,593428
Boston Red Sox,Nathan Eovaldi,6296296,543135
Boston Red Sox,Jackie Bradley Jr,4074074,0
Boston Red Sox,Martin Perez,2222222,527048
Boston Red Sox,Christian Vazquez,1555556,543877
Boston Red Sox,Andrew Benintendi,1259259,643217
Boston Red Sox,Matt Barnes,1148148,598264
Boston Red Sox,Kevin Plawecki,433333,608700
Boston Red Sox,Rafael Devers,256481,646240
Boston Red Sox,Alex Verdugo,222778,657077
Boston Red Sox,Ryan Brasier,216481,518489
Boston Red Sox,Michael Chavis,211481,656308
Boston Red Sox,Tzu,211111,0
Boston Red Sox,Darwinzon Hernandez,209630,650382
Boston Red Sox,Ryan Weber,208971,543901
Boston Red Sox,Jonathan Arauz,208704,660620
Boston Red Sox,Phillips Valdez,208704,570488
Boston Red Sox,Marcus Walden,166556,519393
Boston Red Sox,Christian Arroyo,146922,624414
Boston Red Sox,Chris Mazza,122031,607391
Boston Red Sox,Dylan Covey,92191,592229
Boston Red Sox,Bobby Dalbec,90335,666915
Boston Red Sox,Mike Kickham,87220,592464
Boston Red Sox,Andrew Triggs,80990,592811
Boston Red Sox,Domingo Tapia,49840,593619
Boston Red Sox,Xander Bogaerts,20000000,593428
Boston Red Sox,Martinez,19350000,0
Boston Red Sox,Nathan Eovaldi,17000000,543135
Boston Red Sox,Garrett Richards,8500000,572070
Boston Red Sox,Eduardo Rodriguez,8300000,593958
Boston Red Sox,Adam Ottavino,8150000,493603
Boston Red Sox,Christian Vazquez,6250000,543877
Boston Red Sox,Rafael Devers,4575000,646240
Boston Red Sox,Enrique Hernandez,4500000,571771
Boston Red Sox,Matt Barnes,4500000,598264
Boston Red Sox,Martin Perez,4500000,527048
Boston Red Sox,Hunter Renfroe,3100000,592669
Boston Red Sox,Marwin Gonzalez,3000000,503556
Boston Red Sox,Kevin Plawecki,1600000,608700
Boston Red Sox,Hirokazu Sawamura,1200000,617228
Boston Red Sox,Brandon Workman,709632,519443
Boston Red Sox,Alex Verdugo,649500,657077
Boston Red Sox,Austin Brice,636072,592169
Boston Red Sox,Nick Pivetta,613500,601713
Boston Red Sox,Christian Arroyo,581500,624414
Boston Red Sox,Josh Taylor,580500,657031
Boston Red Sox,Darwinzon Hernandez,578500,650382
Boston Red Sox,Bobby Dalbec,575000,666915
Boston Red Sox,Garrett Whitlock,570500,676477
Boston Red Sox,Michael Chavis,361998,656308
Boston Red Sox,Yacksel Rios,334303,605441
Chicago Cubs,Jon Lester,27500000,452657
Chicago Cubs,Jason Heyward,22500000,518792
Chicago Cubs,Yu Darvish,20000000,506433
Chicago Cubs,Cole Hamels,20000000,430935
Chicago Cubs,Kris Bryant,12900000,592178
Chicago Cubs,Tyler Chatwood,12500000,543022
Chicago Cubs,Anthony Rizzo,11285714,519203
Chicago Cubs,Jose Quintana,10500000,500779
Chicago Cubs,Craig Kimbrel,10000000,518886
Chicago Cubs,Kyle Hendricks,7405000,543294
Chicago Cubs,Steve Cishek,6500000,518553
Chicago Cubs,Pedro Strop,6250000,467008
Chicago Cubs,Javier Baez,5200000,595879
Chicago Cubs,Brandon Kintzler,5000000,445213
Chicago Cubs,Addison Russell,3400000,608365
Chicago Cubs,Kyle Schwarber,3390000,656941
Chicago Cubs,Ben Zobrist,3086022,450314
Chicago Cubs,Nick Castellanos,2859700,592206
Chicago Cubs,Daniel Descalso,1500000,518614
Chicago Cubs,David Phelps,833342,475479
Chicago Cubs,Willson Contreras,684000,575929
Chicago Cubs,David Bote,571500,623520
Chicago Cubs,Victor Caratini,569500,605170
Chicago Cubs,Albert Almora,562530,0
Chicago Cubs,Kyle Ryan,528168,594986
Chicago Cubs,Derek Holland,475000,502706
Chicago Cubs,Jon Lester,10555556,452657
Chicago Cubs,Yu Darvish,8148148,506433
Chicago Cubs,Jason Heyward,7777778,518792
